index,label
0,Friday 1st – Sunday 3rd Jan
1,Friday 8th – Sunday 10th Jan
2,Friday 15th - Sunday 18th Jan
3,Friday 22nd – Sunday 24th Jan
4,Friday 29th – Sunday 31st Jan
5,Friday 5th – Sunday 7th Feb
6,Friday 12th – Sunday 14th Feb
7,Friday 19th – Sunday 21st Feb
8,Friday 26th – Sunday 28th Feb
9,Friday 5th – Sunday 7th Mar
10,Friday 12th – Sunday 14th Mar
11,Friday 19th – Sunday 21st Mar
12,Friday 26th – Sunday 28th Mar
13,Friday 2nd – Sunday 4th Apr
14,Friday 9th – Sunday 11th Apr
15,Friday 16th – Sunday 18th Apr
16,Friday 23rd – Sunday 25th Apr
17,Friday 30th Apr – Sunday 2nd May
18,Friday 7th – Sunday 9th May
19,Friday 14th – Sunday 16th May
20,Friday 21st – Sunday 23rd May
